date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:16:39	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63dcc7c6-688b6df261bc6bf1;gz%22	http://ietechennai.in/robots.txt		(from )
11:16:40	18399/18399	---M-Z	200	added ('OK')	text/html	etag:%2247df-628d2bec-cd83611079bacf11;gz%22	http://ietechennai.in/	C:/My%20Web%20Sites/IETE/ietechennai.in/index.html	(from )
11:16:40	160392/160392	---M-Z	200	added ('OK')	text/css	etag:%2227288-5fee0028-66df42959e3e5195;gz%22	http://ietechennai.in/assets/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/bootstrap/css/bootstrap.min.css	(from http://ietechennai.in/)
11:16:41	92208/92208	---M-Z	200	added ('OK')	text/css	etag:%2216830-5fee0028-73d080c44e43bb9c;gz%22	http://ietechennai.in/assets/vendor/icofont/icofont.min.css	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/icofont/icofont.min.css	(from http://ietechennai.in/)
11:16:41	63235/63235	---M-Z	200	added ('OK')	text/css	etag:%22f703-5fee0028-104009b42e245f02;gz%22	http://ietechennai.in/assets/vendor/boxicons/css/boxicons.min.css	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/boxicons/css/boxicons.min.css	(from http://ietechennai.in/)
11:16:42	110438/110438	---M-Z	200	added ('OK')	text/css	etag:%221af66-5fee0028-71a7d1175f600230;gz%22	http://ietechennai.in/assets/vendor/remixicon/remixicon.css	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/remixicon/remixicon.css	(from http://ietechennai.in/)
11:16:42	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-5fee0028-b87274a14fdb43bd;gz%22	http://ietechennai.in/assets/vendor/owl.carousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/owl.carousel/assets/owl.carousel.min.css	(from http://ietechennai.in/)
11:16:43	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%2211846-5fee0028-ca6a565ccd032146;gz%22	http://ietechennai.in/assets/vendor/animate.css/animate.min.css	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/animate.css/animate.min.css	(from http://ietechennai.in/)
11:16:44	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-5fee0028-f41781f6659e3beb;gz%22	http://ietechennai.in/assets/vendor/aos/aos.css	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/aos/aos.css	(from http://ietechennai.in/)
11:16:44	33682/33682	---M-Z	200	added ('OK')	text/css	etag:%228392-62867f80-fd7e4678deaee396;gz%22	http://ietechennai.in/assets/css/style.css	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/css/style.css	(from http://ietechennai.in/)
11:16:46	35705/35705	---M--	200	added ('OK')	image/png	etag:%228b79-5fee0028-29db72b63fd621d;;;%22	http://ietechennai.in/assets/img/logo.png	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/logo.png	(from http://ietechennai.in/)
11:16:46	18399/18399	---M-Z	200	added ('OK')	text/html	etag:%2247df-628d2bec-cd83611079bacf11;gz%22	http://ietechennai.in/index.html	C:/My%20Web%20Sites/IETE/ietechennai.in/index-2.html	(from http://ietechennai.in/)
11:16:48	16419/16419	---M-Z	200	added ('OK')	text/html	etag:%224023-62780524-7ac6afb515f719d;gz%22	http://ietechennai.in/about.html	C:/My%20Web%20Sites/IETE/ietechennai.in/about.html	(from http://ietechennai.in/)
11:16:49	15478/15478	---M-Z	200	added ('OK')	text/html	etag:%223c76-62823089-76860164cc6d08bc;gz%22	http://ietechennai.in/trainers.html	C:/My%20Web%20Sites/IETE/ietechennai.in/trainers.html	(from http://ietechennai.in/)
11:16:49	46778/46778	---M-Z	200	added ('OK')	text/html	etag:%22b6ba-628d2bc0-b2647df123768d73;gz%22	http://ietechennai.in/events.html	C:/My%20Web%20Sites/IETE/ietechennai.in/events.html	(from http://ietechennai.in/)
11:16:49	10559/10559	---M-Z	200	added ('OK')	text/html	etag:%22293f-62780528-2b681e9ebeed0f5d;gz%22	http://ietechennai.in/pricing.html	C:/My%20Web%20Sites/IETE/ietechennai.in/pricing.html	(from http://ietechennai.in/)
11:16:50	16137/16137	---M-Z	200	added ('OK')	text/html	etag:%223f09-628d2ba7-459ef259a517f2e9;gz%22	http://ietechennai.in/chencon.html	C:/My%20Web%20Sites/IETE/ietechennai.in/chencon.html	(from http://ietechennai.in/)
11:25:11	9489/9489	---M-Z	200	added ('OK')	text/html	etag:%222511-62780528-fd336269c06bdba8;gz%22	http://ietechennai.in/contact.html	C:/My%20Web%20Sites/IETE/ietechennai.in/contact.html	(from http://ietechennai.in/)
11:25:20	7234/7234	---M-Z	200	added ('OK')	text/html	etag:%221c42-628d2c01-94afe19eb626806;gz%22	http://ietechennai.in/specialseminar.html	C:/My%20Web%20Sites/IETE/ietechennai.in/specialseminar.html	(from http://ietechennai.in/)
11:25:29	125068/125068	---M--	200	added ('OK')	image/jpeg	etag:%221e88c-5fee0a72-3431a9ebaa7f0448;;;%22	http://ietechennai.in/assets/img/events/Slide4.jpeg	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/events/Slide4.jpg	(from http://ietechennai.in/)
11:25:29	93770/93770	---M--	200	added ('OK')	image/jpeg	etag:%2216e4a-5fee0a72-93de51ba271c62f5;;;%22	http://ietechennai.in/assets/img/events/Slide3.jpeg	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/events/Slide3.jpg	(from http://ietechennai.in/)
11:25:38	111643/111643	---M--	200	added ('OK')	image/jpeg	etag:%221b41b-5fee0f4d-ca794613906ccbc6;;;%22	http://ietechennai.in/assets/img/events/Slide12.jpeg	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/events/Slide12.jpg	(from http://ietechennai.in/)
11:25:39	122243/122243	---M--	200	added ('OK')	image/jpeg	etag:%221dd83-5fee0a72-e2e41927c35d52dc;;;%22	http://ietechennai.in/assets/img/events/Slide2.jpeg	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/events/Slide2.jpg	(from http://ietechennai.in/)
11:25:40	89476/89476	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215d84-5fee0028-40521acf8f40ab4b;gz%22	http://ietechennai.in/assets/vendor/jquery/jquery.min.js	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/jquery/jquery.min.js	(from http://ietechennai.in/)
11:25:42	84152/84152	---M-Z	200	added ('OK')	application/x-javascript	etag:%22148b8-5fee0028-87471b5ebacb853e;gz%22	http://ietechennai.in/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from http://ietechennai.in/)
11:25:42	2532/2532	---M-Z	200	added ('OK')	application/x-javascript	etag:%229e4-5fee0028-4b315beb13aa227a;gz%22	http://ietechennai.in/assets/vendor/jquery.easing/jquery.easing.min.js	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/jquery.easing/jquery.easing.min.js	(from http://ietechennai.in/)
11:25:43	3663/3663	---M-Z	200	added ('OK')	application/x-javascript	etag:%22e4f-5fee0028-78674851483654;gz%22	http://ietechennai.in/assets/vendor/php-email-form/validate.js	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/php-email-form/validate.js	(from http://ietechennai.in/)
11:25:46	9028/9028	---M-Z	200	added ('OK')	application/x-javascript	etag:%222344-5fee0028-de10b7b5f2abbb85;gz%22	http://ietechennai.in/assets/vendor/waypoints/jquery.waypoints.min.js	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/waypoints/jquery.waypoints.min.js	(from http://ietechennai.in/)
11:25:49	2406/2406	---M-Z	200	added ('OK')	application/x-javascript	etag:%22966-5fee0028-d6d6fe95e953744c;gz%22	http://ietechennai.in/assets/vendor/counterup/counterup.min.js	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/counterup/counterup.min.js	(from http://ietechennai.in/)
11:25:50	44342/44342	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ad36-5fee0028-864d2e0be5620e38;gz%22	http://ietechennai.in/assets/vendor/owl.carousel/owl.carousel.min.js	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/owl.carousel/owl.carousel.min.js	(from http://ietechennai.in/)
11:25:53	14690/14690	---M-Z	200	added ('OK')	application/x-javascript	etag:%223962-5fee0028-c889e21f8b192f12;gz%22	http://ietechennai.in/assets/vendor/aos/aos.js	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/aos/aos.js	(from http://ietechennai.in/)
11:25:54	4403/4403	---M-Z	200	added ('OK')	application/x-javascript	etag:%221133-5fee0028-361bcdbe057f977;gz%22	http://ietechennai.in/assets/js/main.js	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/js/main.js	(from http://ietechennai.in/)
11:26:17	93260/93260	---M--	200	added ('OK')	font/woff2	etag:%2216c4c-5fee0028-113860ee333ff29b;;;%22	http://ietechennai.in/assets/vendor/boxicons/fonts/boxicons.woff2	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/boxicons/fonts/boxicons.woff2	(from http://ietechennai.in/assets/vendor/boxicons/css/boxicons.min.css)
11:26:21	273536/273536	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2242c80-5fee0028-f17e4b16e39d7af3;gz%22	http://ietechennai.in/assets/vendor/boxicons/fonts/boxicons.eot	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/boxicons/fonts/boxicons.eot	(from http://ietechennai.in/assets/vendor/boxicons/css/boxicons.min.css)
